iter	Passed	Remaining
1016	26248	20802
1017	26272	20775
1018	26301	20752
1019	26332	20730
1020	26359	20705
1021	26388	20682
1022	26418	20659
1023	26454	20641
1024	26481	20617
1025	26509	20592
1026	26538	20568
1027	26563	20543
1028	26590	20517
1029	26618	20493
1030	26644	20467
1031	26668	20440
1032	26696	20416
1033	26726	20393
1034	26750	20366
1035	26784	20347
1036	26808	20319
1037	26831	20291
1038	26861	20269
1039	26890	20245
1040	26918	20220
1041	26947	20197
1042	26973	20172
1043	27005	20151
1044	27034	20127
1045	27075	20112
1046	27105	20089
1047	27133	20065
1048	27156	20037
1049	27182	20011
1050	27209	19986
1051	27236	19961
1052	27263	19936
1053	27292	19912
1054	27323	19890
1055	27353	19867
1056	27381	19843
1057	27410	19819
1058	27438	19795
1059	27464	19769
1060	27491	19744
1061	27517	19718
1062	27540	19690
1063	27566	19664
1064	27596	19641
1065	27623	19615
1066	27656	19595
1067	27689	19574
1068	27714	19548
1069	27742	19523
1070	27770	19499
1071	27796	19472
1072	27823	19447
1073	27853	19424
1074	27884	19402
1075	27912	19377
1076	27937	19351
1077	27965	19326
1078	27991	19300
1079	28017	19275
1080	28051	19254
1081	28079	19229
1082	28109	19207
1083	28133	19179
1084	28157	19152
1085	28181	19124
1086	28208	19099
1087	28233	19073
1088	28261	19048
1089	28285	19021
1090	28312	18996
1091	28337	18969
1092	28365	18944
1093	28387	18916
1094	28413	18890
1095	28437	18863
1096	28463	18837
1097	28490	18811
1098	28514	18784
1099	28544	18761
1100	28570	18735
1101	28595	18708
1102	28621	18683
1103	28656	18663
1104	28684	18638
1105	28710	18612
1106	28737	18587
1107	28764	18562
1108	28797	18540
1109	28822	18513
1110	28847	18487
1111	28872	18460
1112	28903	18438
1113	28935	18416
1114	28960	18389
1115	28989	18364
1116	29018	18341
1117	29042	18314
1118	29068	18288
1119	29100	18265
1120	29125	18239
1121	29151	18213
1122	29178	18187
1123	29205	18162
1124	29231	18136
1125	29255	18109
1126	29285	18085
1127	29309	18058
1128	29342	18036
1129	29370	18012
1130	29396	17986
1131	29422	17960
1132	29447	17933
1133	29473	17907
1134	29497	17880
1135	29524	17854
1136	29557	17833
1137	29585	17808
1138	29608	17780
1139	29632	17753
1140	29662	17729
1141	29697	17709
1142	29722	17682
1143	29749	17656
1144	29776	17631
1145	29805	17607
1146	29832	17582
1147	29860	17557
1148	29892	17535
1149	29919	17509
1150	29947	17484
1151	29976	17460
1152	30003	17434
1153	30032	17410
1154	30063	17387
1155	30090	17361
1156	30118	17336
1157	30143	17310
1158	30168	17283
1159	30198	17259
1160	30221	17232
1161	30244	17204
1162	30272	17179
1163	30298	17153
1164	30321	17125
1165	30351	17101
1166	30377	17075
1167	30409	17053
1168	30435	17027
1169	30460	17000
1170	30494	16978
1171	30522	16954
1172	30548	16927
1173	30572	16900
1174	30597	16874
1175	30624	16848
1176	30648	16821
1177	30673	16795
1178	30700	16769
1179	30727	16743
1180	30754	16718
1181	30778	16691
1182	30807	16667
1183	30835	16641
1184	30859	16614
1185	30884	16587
1186	30909	16561
1187	30933	16534
1188	30957	16507
1189	30982	16480
1190	31014	16457
1191	31038	16430
1192	31062	16403
1193	31089	16377
1194	31120	16354
1195	31144	16327
1196	31169	16300
1197	31194	16274
1198	31220	16247
1199	31247	16222
1200	31277	16198
1201	31300	16171
1202	31322	16143
1203	31351	16118
1204	31372	16089
1205	31396	16062
1206	31427	16039
1207	31449	16011
1208	31479	15987
1209	31501	15958
1210	31524	15931
1211	31548	15904
1212	31580	15881
1213	31608	15856
1214	31631	15828
1215	31666	15807
1216	31696	15783
1217	31728	15760
1218	31752	15733
1219	31783	15709
1220	31807	15682
1221	31833	15656
1222	31863	15632
1223	31888	15605
1224	31912	15578
1225	31936	15551
1226	31961	15524
1227	31994	15502
1228	32019	15475
1229	32046	15450
1230	32072	15423
1231	32098	15398
1232	32123	15371
1233	32150	15345
1234	32178	15320
1235	32205	15295
1236	32231	15268
1237	32257	15242
1238	32281	15215
1239	32308	15190
1240	32338	15165
1241	32360	15137
1242	32382	15110
1243	32407	15083
1244	32428	15055
1245	32448	15026
1246	32471	14998
1247	32494	14971
1248	32518	14944
1249	32543	14918
1250	32564	14889
1251	32591	14863
1252	32611	14835
1253	32631	14806
1254	32666	14784
1255	32691	14757
1256	32719	14732
1257	32744	14706
1258	32772	14681
1259	32794	14653
1260	32817	14625
1261	32842	14599
1262	32876	14576
1263	32906	14552
1264	32931	14526
1265	32952	14498
1266	32978	14472
1267	33003	14445
1268	33028	14418
1269	33059	14395
1270	33087	14369
1271	33109	14342
1272	33138	14317
1273	33163	14290
1274	33190	14265
1275	33216	14239
1276	33241	14213
1277	33265	14186
1278	33297	14162
1279	33322	14135
1280	33346	14109
1281	33370	14082
1282	33393	14054
1283	33416	14027
1284	33438	13999
1285	33461	13972
1286	33485	13945
1287	33509	13918
1288	33530	13890
1289	33553	13863
1290	33579	13837
1291	33615	13815
1292	33648	13792
1293	33669	13764
1294	33694	13737
1295	33722	13712
1296	33747	13686
1297	33773	13660
1298	33797	13633
1299	33820	13606
1300	33844	13579
1301	33871	13553
1302	33896	13527
1303	33921	13501
1304	33944	13473
1305	33969	13447
1306	33998	13422
1307	34022	13395
1308	34048	13369
1309	34079	13345
1310	34105	13319
1311	34132	13293
1312	34155	13266
1313	34178	13239
1314	34207	13214
1315	34232	13188
1316	34257	13161
1317	34280	13134
1318	34305	13108
1319	34336	13084
1320	34359	13057
1321	34385	13031
1322	34410	13004
1323	34440	12980
1324	34467	12954
1325	34496	12929
1326	34524	12904
1327	34549	12878
1328	34577	12852
1329	34603	12826
1330	34632	12801
1331	34655	12774
1332	34679	12747
1333	34702	12720
1334	34732	12696
1335	34756	12669
1336	34778	12641
1337	34803	12615
1338	34828	12589
1339	34851	12562
1340	34874	12534
1341	34895	12507
1342	34922	12481
1343	34945	12454
1344	34970	12428
1345	34996	12402
1346	35019	12375
